,word,similarity,original_word
0,anjali,0.831588855117,sachin
1,ramesh,0.824569671927,sachin
2,burman.,0.823533311414,sachin
3,tendulkar.,0.821585598226,sachin
4,adds,0.818527808695,sachin
5,....,0.81346798132,sachin
6,publicly,0.798618842902,sachin
7,declaration,0.796371967529,sachin
8,raina.,0.774925296354,sachin
9,marriage.,0.75893771685,sachin
0,....,0.900647849101,rahul
1,tarapore,0.860496023607,rahul
2,keki,0.836568985567,rahul
3,vijeta,0.833666500102,rahul
4,nicknamed,0.812240468447,rahul
5,mentorship,0.809427032335,rahul
6,anjali,0.801594910176,rahul
7,vijetha,0.801502654843,rahul
8,sheer,0.800539639713,rahul
9,apparently,0.798211807586,rahul
0,sehwag,0.811972942268,tendulkar
1,dravid,0.795710079579,tendulkar
2,mehta,0.73200535366,tendulkar
3,strokes.,0.705218751973,tendulkar
4,556,0.704623751754,tendulkar
5,declaration,0.685456733587,tendulkar
6,rahane.,0.666378728085,tendulkar
7,laxman,0.663744903404,tendulkar
8,mervyn,0.66367273791,tendulkar
9,he,0.660991640792,tendulkar
0,international,0.754134089676,cricket
1,committee.,0.72841080095,cricket
2,club,0.726211617583,cricket
3,presidents,0.720960791552,cricket
4,domestic,0.714419452999,cricket
5,2015,0.714294471682,cricket
6,cricket.,0.693384416876,cricket
7,early,0.679775849972,cricket
8,cup,0.676914885091,cricket
9,associations,0.665328261384,cricket
0,appeal,0.807194193285,world
1,dmc,0.803265254252,world
2,committee.,0.774238817798,world
3,1996,0.772615679228,world
4,cricket.com,0.764203294611,world
5,dramatic,0.753739720876,world
6,cup,0.751720745368,world
7,2003,0.748969869394,world
8,austral,0.742097542176,world
9,citizen.,0.732659933262,world
0,marriage.,0.919256291356,anjali
1,aarti,0.914095099025,anjali
2,dona.,0.904354292485,anjali
3,dona,0.868341428951,anjali
4,dance,0.863618562135,anjali
5,everyone,0.862780447879,anjali
6,padwa,0.860539172174,anjali
7,ahlawat,0.856505747175,anjali
8,wife,0.85187949776,anjali
9,bad.,0.85057038117,anjali
