,word,similarity,original_word
0,shane,0.911033117001,sachin
1,eddie,0.857085272742,sachin
2,dravid,0.765325492246,sachin
3,aaron,0.762657796374,sachin
4,rivals,0.762437278687,sachin
5,agarkar,0.761483641918,sachin
6,teammate,0.746040540483,sachin
7,muttiah,0.738044389073,sachin
8,waugh.,0.73788163626,sachin
9,shepherd,0.734930193993,sachin
0,pollard,0.835495892011,rahul
1,cricketajinkya,0.830849991662,rahul
2,akai,0.830134967496,rahul
3,mongia,0.829694448253,rahul
4,forever.,0.826202588108,rahul
5,wright,0.80480026472,rahul
6,materialised,0.802679301606,rahul
7,timeless,0.790598156016,rahul
8,kieron,0.789579333321,rahul
9,bouncer,0.788843973986,rahul
0,rahane,0.87747974645,tendulkar
1,fielding,0.857581839232,tendulkar
2,laxman,0.837974435475,tendulkar
3,steve,0.830158510303,tendulkar
4,ganguly,0.828571423379,tendulkar
5,bowled,0.823915377815,tendulkar
6,182,0.820376163071,tendulkar
7,opponents,0.816559239737,tendulkar
8,61.83,0.810780300504,tendulkar
9,agarkar,0.803841735269,tendulkar
0,cup,0.816955186729,cricket
1,world,0.814905235793,cricket
2,overview,0.756716028099,cricket
3,prudential,0.751687953367,cricket
4,espncricinfothe,0.729177152035,cricket
5,cups.,0.721038181705,cricket
6,icc,0.709664820023,cricket
7,debuts,0.706388714043,cricket
8,domestic,0.704670507472,cricket
9,cup.,0.698647548141,cricket
0,cricket,0.814905037941,world
1,prudential,0.791142084843,world
2,overview,0.777845991512,world
3,espncricinfothe,0.767167242401,world
4,austral,0.755880403129,world
5,debuts,0.753740706763,world
6,cup,0.746748082686,world
7,icc,0.719507034461,world
8,intercontinental,0.706095896157,world
9,cups.,0.683649745258,world
0,eventdetails.do,0.87656328929,anjali
1,5566,0.843191360171,anjali
2,eventid,0.836048444039,anjali
3,meri,0.826545342184,anjali
4,doug,0.826373083738,anjali
5,footwear.,0.809253163583,anjali
6,alfred,0.807509074304,anjali
7,luis,0.805951673685,anjali
8,prasada,0.802363718542,anjali
9,10.1080,0.800064883872,anjali
