,word,similarity,original_word
0,tendulkar,0.70821140677,sachin
1,malinga,0.656062589308,sachin
2,dhoni,0.650331755603,sachin
3,ponting,0.645334927754,sachin
4,outfielder,0.638096091328,sachin
5,collingwood,0.635924819594,sachin
6,azharuddin,0.618399924801,sachin
7,clarke,0.616825540605,sachin
8,ravichandran,0.616680899021,sachin
9,mahendra,0.616231266937,sachin
0,vvs,0.782543248887,rahul
1,laxman,0.700412763783,rahul
2,vaughn,0.687030536371,rahul
3,laxman.,0.678033678064,rahul
4,effected,0.668961219187,rahul
5,878,0.663890357985,rahul
6,saliva.,0.662010476651,rahul
7,556,0.650482995175,rahul
8,66.34,0.65027497999,rahul
9,852,0.645556221546,rahul
0,dravid,0.724402077799,tendulkar
1,jadeja,0.720727775936,tendulkar
2,dhoni,0.713515054792,tendulkar
3,gayle,0.710755704225,tendulkar
4,pietersen,0.708388786664,tendulkar
5,sachin,0.708211453872,tendulkar
6,tendulkar.,0.698511758025,tendulkar
7,ravichandran,0.688016751797,tendulkar
8,watson,0.687362461382,tendulkar
9,gambhir,0.684320860416,tendulkar
0,twenty20,0.638087361653,cricket
1,2011edit,0.616358360796,cricket
2,championship,0.590809490292,cricket
3,cricket.,0.570288833383,cricket
4,icc,0.557962470798,cricket
5,xi,0.548377187108,cricket
6,superbike,0.520032797652,cricket
7,cups.,0.519820121544,cricket
8,u,0.514959741254,cricket
9,cup.,0.513842534937,cricket
0,gillette,0.627991415138,world
1,intercontinental,0.588892362726,world
2,2011edit,0.583433054708,world
3,espncricinfo.the,0.57837556276,world
4,baku,0.577173536463,world
5,kitply,0.570499406487,world
6,century.he,0.566143082883,world
7,austral,0.564683078752,world
8,cup,0.55091975173,world
9,davis,0.535162808273,world
0,alo,0.828999385684,anjali
1,mohammed,0.820305097103,anjali
2,baba,0.778408719563,anjali
3,sanam,0.778078718546,anjali
4,deepika,0.776748670318,anjali
5,joshi,0.77645676044,anjali
6,chhayate,0.771807121265,anjali
7,allauddin,0.770880985405,anjali
8,daud,0.768273707312,anjali
9,ranveer,0.766210368433,anjali
